title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Extension of Compliance Date for Entry-Level Driver Training,Rule,Transportation Department; Federal Motor Carrier Safety Administration,"FMCSA finalizes its February 4, 2020 interim final rule (interim rule), which revised a December 8, 2016, final rule, ``Minimum Training Requirements for Entry-Level Commercial Motor Vehicle Operators'' (ELDT final rule). This action finalizes the extension of the compliance date for the ELDT final rule from February 7, 2020, to February 7, 2022. This action provides FMCSA additional time to complete development of the Training Provider Registry (TPR) and provides State Driver Licensing Agencies (SDLAs) time to modify their information technology (IT) systems and procedures, as necessary, to accommodate their receipt of driver-specific ELDT data from the TPR.", 2021-13893,https://www.federalregister.gov/documents/2021/06/30/2021-13893/extension-of-compliance-date-for-entry-level-driver-training,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13893.pdf,06/30/2021
Phasedown of Hydrofluorocarbons: Establishing the Allowance Allocation and Trading Program Under the American Innovation and Manufacturing Act,Rule,Environmental Protection Agency,"The Environmental Protection Agency is issuing regulations to implement certain provisions of the American Innovation and Manufacturing Act, as enacted on December 27, 2020. This Act mandates the phasedown of hydrofluorocarbons, which are highly potent greenhouse gases, by 85 percent over a period ending in 2036. The Act directs the Environmental Protection Agency to implement the phasedown by issuing a fixed quantity of transferrable production and consumption allowances, which producers and importers of hydrofluorocarbons must hold in quantities equal to the amount of hydrofluorocarbons they produce or import. To establish the allowance allocation program, this rulemaking determines the hydrofluorocarbon production and consumption baselines, from which allowed production and consumption will decrease consistent with the statutory phasedown schedule; provides an initial approach to allocating calendar-year allowances and allowing for the transfer of those allowances; establishes provisions for the international transfer of allowances; and establishes recordkeeping and reporting requirements. Additionally, it establishes provisions to support implementation, compliance with, and enforcement of, statutory and regulatory requirements under the Act's phasedown provisions. Over the time period from 2022-2050, this rulemaking will avoid cumulative emissions of 4,560 million metric tons of exchange value equivalent of HFCs in the United States with a present value of cumulative net benefits of $272.7 billion.", 2021-21030,https://www.federalregister.gov/documents/2021/10/05/2021-21030/phasedown-of-hydrofluorocarbons-establishing-the-allowance-allocation-and-trading-program-under-the,https://www.govinfo.gov/content/pkg/FR-2021-10-05/pdf/2021-21030.pdf,10/05/2021
Revised Cross-State Air Pollution Rule Update for the 2008 Ozone NAAQS,Rule,Environmental Protection Agency,"The U.S. Environmental Protection Agency (EPA) is taking this action to address interstate transport of ozone pollution under the ``good neighbor provision'' of the Clean Air Act (CAA). This final action is taken in response to the United States Court of Appeals for the District of Columbia Circuit's (D.C. Circuit) remand of the Cross- State Air Pollution Rule (CSAPR) Update in Wisconsin v. EPA on September 13, 2019. The CSAPR Update finalized Federal Implementation Plans (FIPs) for 22 states to address their good neighbor obligations for the 2008 ozone National Ambient Air Quality Standards (NAAQS). The D.C. Circuit found that the CSAPR Update, which was published on October 26, 2016 as a partial remedy to address upwind states' obligations prior to the 2018 Moderate area attainment date under the 2008 ozone NAAQS, was unlawful to the extent it allowed those states to continue their significant contributions to downwind ozone problems beyond the statutory dates by which downwind states must demonstrate their attainment of the air quality standards. On the same grounds, the D.C. Circuit also vacated the CSAPR Close-Out in New York v. EPA on October 1, 2019. This final rule resolves 21 states' outstanding interstate ozone transport obligations with respect to the 2008 ozone NAAQS. This action finds that for 9 of the 21 states for which the CSAPR Update was found to be only a partial remedy (Alabama, Arkansas, Iowa, Kansas, Mississippi, Missouri, Oklahoma, Texas, and Wisconsin), their projected ozone precursor emissions in the 2021 ozone season and thereafter do not significantly contribute to a continuing downwind nonattainment and/or maintenance problem, and therefore the states' CSAPR Update FIPs (or the SIPs subsequently approved to replace certain states' CSAPR Update FIPs) fully address their interstate ozone transport obligations with respect to the 2008 ozone NAAQS. This action also finds that for the 12 remaining states (Illinois, Indiana, Kentucky, Louisiana, Maryland, Michigan, New Jersey, New York, Ohio, Pennsylvania, Virginia, and West Virginia), their projected 2021 ozone season nitrogen oxides (NO<INF>X</INF>) emissions significantly contribute to downwind states' nonattainment and/or maintenance problems for the 2008 ozone NAAQS. In this final action, EPA is issuing new or amended FIPs for these 12 states to replace their existing CSAPR NO<INF>X</INF> Ozone Season Group 2 emissions budgets for electricity generating units (EGUs) with revised budgets via a new CSAPR NO<INF>X</INF> Ozone Season Group 3 Trading Program. EPA is requiring implementation of the revised emission budgets beginning with the 2021 ozone season. Based on EPA's assessment of remaining air quality issues and additional emission control strategies for EGUs and other emissions sources in other industry sectors (non-EGUs), EPA is further determining that these NO<INF>X</INF> emission reductions fully eliminate these states' significant contributions to downwind air quality problems for the 2008 ozone NAAQS. In this action, EPA is also finalizing an error correction of its June 2018 approval of Kentucky's good neighbor SIP.", 2021-05705,https://www.federalregister.gov/documents/2021/04/30/2021-05705/revised-cross-state-air-pollution-rule-update-for-the-2008-ozone-naaqs,https://www.govinfo.gov/content/pkg/FR-2021-04-30/pdf/2021-05705.pdf,04/30/2021
Energy Conservation Program: Energy Conservation Standards for Portable Air Conditioners,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA or the Act), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment. In addition to specifying a list of covered consumer products and commercial equipment, EPCA contains provisions that enable the Secretary of Energy to classify additional types of consumer products as covered products. On April 18, 2016, the U.S. Department of Energy (DOE or the Department) published a final coverage determination to classify portable air conditioners (ACs) as covered consumer products under the applicable provisions in EPCA. In this final rule, DOE establishes new energy conservation standards for portable ACs. DOE has determined that the energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2019-26350,https://www.federalregister.gov/documents/2020/01/10/2019-26350/energy-conservation-program-energy-conservation-standards-for-portable-air-conditioners,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2019-26350.pdf,01/10/2020
Energy Conservation Program: Energy Conservation Standards for Uninterruptible Power Supplies,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including battery chargers. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting new energy conservation standards for uninterruptible power supplies, a class of battery chargers. It has determined that the new energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2019-26354,https://www.federalregister.gov/documents/2020/01/10/2019-26354/energy-conservation-program-energy-conservation-standards-for-uninterruptible-power-supplies,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2019-26354.pdf,01/10/2020
Extension of Compliance Date for Entry-Level Driver Training,Rule,Transportation Department; Federal Motor Carrier Safety Administration,"FMCSA is amending its December 8, 2016, final rule, ``Minimum Training Requirements for Entry-Level Commercial Motor Vehicle Operators'' (ELDT final rule), by extending the compliance date for the rule from February 7, 2020, to February 7, 2022. This action will provide FMCSA additional time to complete development of the Training Provider Registry (TPR). The TPR will allow training providers to self- certify that they meet the training requirements and will provide the electronic interface that will receive and store entry-level driver training (ELDT) certification information from training providers and transmit that information to the State Driver Licensing Agencies (SDLAs). The extension also provides SDLAs with time to modify their information technology (IT) systems and procedures, as necessary, to accommodate their receipt of driver-specific ELDT data from the TPR. FMCSA is delaying the entire ELDT final rule, as opposed to a partial delay as proposed, due to delays in implementation of the TPR that were not foreseen when the proposed rule was published.", 2020-01548,https://www.federalregister.gov/documents/2020/02/04/2020-01548/extension-of-compliance-date-for-entry-level-driver-training,https://www.govinfo.gov/content/pkg/FR-2020-02-04/pdf/2020-01548.pdf,02/04/2020
Energy Conservation Program: Energy Conservation Standards for Air Compressors,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975, as amended (``EPCA''), prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment. EPCA also authorizes DOE to establish standards for certain other types of industrial equipment, including air compressors. Such standards must be technologically feasible and economically justified, and must save a significant amount of energy. In this final rule, DOE is adopting new energy conservation standards for air compressors. It has determined that the adopted energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2019-26355,https://www.federalregister.gov/documents/2020/01/10/2019-26355/energy-conservation-program-energy-conservation-standards-for-air-compressors,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2019-26355.pdf,01/10/2020
Energy Conservation Program: Energy Conservation Standards for Commercial Packaged Boilers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer equipment and certain commercial and industrial equipment, including commercial packaged boilers (CPBs). EPCA also requires the U.S. Department of Energy (DOE) to periodically review standards. In this final rule, DOE is adopting more-stringent energy conservation standards for certain commercial packaged boilers.", 2019-26356,https://www.federalregister.gov/documents/2020/01/10/2019-26356/energy-conservation-program-energy-conservation-standards-for-commercial-packaged-boilers,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2019-26356.pdf,01/10/2020
The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Years 2021-2026 Passenger Cars and Light Trucks,Rule,Environmental Protection Agency; Transportation Department; National Highway Traffic Safety Administration,"EPA and NHTSA, on behalf of the Department of Transportation, are issuing final rules to amend and establish carbon dioxide and fuel economy standards. Specifically, EPA is amending carbon dioxide standards for model years 2021 and later, and NHTSA is amending fuel economy standards for model year 2021 and setting new fuel economy standards for model years 2022-2026. The standards set by this action apply to passenger cars and light trucks, and will continue our nation's progress toward energy independence and carbon dioxide reduction, while recognizing the realities of the marketplace and consumers' interest in purchasing vehicles that meet all of their diverse needs. These final rules represent the second part of the Administration's action related to the August 24, 2018 proposed Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule. These final rules follow the agencies' actions, taken September 19, 2019, to ensure One National Program for automobile fuel economy and carbon dioxide emissions standards, by finalizing regulatory text related to preemption under the Energy Policy and Conservation Act and withdrawing a waiver previously provided to California under the Clean Air Act.", 2020-06967,https://www.federalregister.gov/documents/2020/04/30/2020-06967/the-safer-affordable-fuel-efficient-safe-vehicles-rule-for-model-years-2021-2026-passenger-cars-and,https://www.govinfo.gov/content/pkg/FR-2020-04-30/pdf/2020-06967.pdf,04/30/2020
Steam Electric Reconsideration Rule,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA or the Agency) is finalizing a regulation to revise the technology-based effluent limitations guidelines and standards (ELGs) for the steam electric power generating point source category applicable to flue gas desulfurization (FGD) wastewater and bottom ash (BA) transport water. This final regulation is estimated to save approximately $140 million annually in after tax compliance costs as a result of less costly FGD wastewater technologies that could be used with the modification of the Steam Electric Power Generating Effluent Guidelines 2015 rule (the 2015 rule) limitations; less costly BA transport water technologies made possible by the revision of the 2015 rule's zero discharge limitations; a two-year extension of compliance time frames for meeting FGD wastewater and BA transport water limitations, and additional subcategories for both FGD wastewater and BA transport water. Participation in the voluntary incentive program would contribute to the reduction in pollutant discharges by these steam electric power plants in FGD wastewater by approximately 26.7 million pounds per year.", 2020-19542,https://www.federalregister.gov/documents/2020/10/13/2020-19542/steam-electric-reconsideration-rule,https://www.govinfo.gov/content/pkg/FR-2020-10-13/pdf/2020-19542.pdf,10/13/2020
